url_length,domain_length,path_length,count_dots,count_hyphen,count_at,count_question,count_equal,count_digits,count_letters,count_special,has_https,has_ip,subdomain_count,keyword_count,label
86,20,58,3,1,0,0,0,25,51,10,1,0,2,0,1
70,26,36,2,4,0,0,0,12,47,11,1,0,2,0,1
27,9,10,1,0,0,0,0,0,22,5,1,0,1,0,1
29,21,1,2,0,0,0,0,8,15,6,0,0,2,0,1
30,21,1,1,1,0,0,0,2,22,6,1,0,1,0,1
39,21,10,1,1,0,0,0,2,31,6,1,0,1,0,1
42,21,13,1,1,0,0,0,2,34,6,1,0,1,0,1
48,39,1,2,3,0,0,0,2,37,9,1,0,2,1,1
28,19,1,2,1,0,0,0,5,16,7,1,0,2,0,1
34,19,7,3,1,0,0,0,5,21,8,1,0,2,0,1
30,21,1,2,1,0,0,0,5,18,7,1,0,2,0,1
36,21,7,3,1,0,0,0,5,23,8,1,0,2,0,1
31,22,1,2,1,0,0,0,5,19,7,1,0,2,0,1
37,22,7,3,1,0,0,0,5,24,8,1,0,2,0,1
32,23,1,2,1,0,0,0,5,20,7,1,0,2,0,1
38,23,7,3,1,0,0,0,5,25,8,1,0,2,0,1
30,21,1,2,1,0,0,0,5,18,7,1,0,2,0,1
36,21,7,3,1,0,0,0,5,23,8,1,0,2,0,1
37,29,0,2,2,0,0,0,6,24,7,1,0,2,0,1
40,32,0,2,1,0,0,0,0,34,6,1,0,2,2,1
29,21,0,2,1,0,0,0,6,17,6,1,0,2,0,1
56,49,0,2,1,0,0,0,11,39,6,0,0,2,0,1
187,25,63,5,1,0,3,2,19,146,22,1,0,3,1,1
48,41,0,2,1,0,0,0,11,31,6,0,0,2,0,1
37,29,0,2,1,0,0,0,6,25,6,1,0,2,0,1
37,29,0,2,1,0,0,0,6,25,6,1,0,2,0,1
86,13,42,4,1,1,1,1,2,69,15,1,0,2,0,1
353,22,26,9,0,0,1,1,75,224,54,0,0,2,0,1
343,15,10,9,0,0,1,1,76,214,53,1,0,2,0,1
359,16,22,10,0,0,1,1,78,225,56,1,0,3,0,1
343,21,16,10,0,0,1,1,75,215,53,1,0,3,0,1
344,16,10,8,0,0,1,1,76,216,52,1,0,1,0,1
32,23,1,2,1,0,0,0,0,25,7,1,0,2,0,1
30,23,0,2,1,0,0,0,0,24,6,0,0,2,0,1
99,53,10,6,3,1,1,1,4,79,16,1,0,4,0,1
80,14,52,4,2,0,1,0,0,65,15,1,0,1,2,1
30,23,0,2,0,0,0,0,0,25,5,0,0,2,0,1
32,23,1,2,0,0,0,0,0,26,6,1,0,2,0,1
40,31,1,2,3,0,0,0,0,31,9,1,0,2,0,1
38,31,0,2,3,0,0,0,0,30,8,0,0,2,0,1
41,34,0,2,2,0,0,0,3,31,7,0,0,2,0,1
43,34,1,2,2,0,0,0,3,32,8,1,0,2,0,1
30,23,0,2,0,0,0,0,0,25,5,0,0,2,0,1
32,23,1,2,0,0,0,0,0,26,6,1,0,2,0,1
36,29,0,2,1,0,0,0,8,22,6,0,0,2,0,1
30,21,1,1,1,0,0,0,0,24,6,1,0,1,0,1
37,21,8,1,1,0,0,0,0,31,6,1,0,1,0,1
239,28,17,2,0,0,1,2,35,192,12,1,0,2,0,1
28,21,0,2,1,0,0,0,6,16,6,0,0,2,0,1
39,22,9,2,1,0,0,0,0,31,8,1,0,2,0,1
37,22,7,2,2,0,0,0,0,28,9,1,0,2,0,1
36,23,5,2,2,0,0,0,0,28,8,1,0,2,0,1
40,27,5,2,2,0,0,0,0,32,8,1,0,2,0,1
38,21,9,2,2,0,0,0,0,29,9,1,0,2,0,1
44,30,6,2,3,0,0,0,0,35,9,1,0,2,0,1
35,20,7,2,0,0,0,0,0,29,6,1,0,2,0,1
21,13,0,1,0,0,0,0,0,17,4,1,0,1,0,1
23,15,0,1,0,0,0,0,0,19,4,1,0,1,0,1
33,25,0,2,2,0,0,0,0,26,7,1,0,2,0,1
21,13,0,1,0,0,0,0,0,17,4,1,0,1,0,1
48,28,12,3,0,0,0,0,5,36,7,1,0,2,1,1
43,28,7,2,0,0,0,0,5,32,6,1,0,2,1,1
23,15,0,1,0,0,0,0,0,19,4,1,0,1,0,1
25,17,0,1,0,0,0,0,0,21,4,1,0,1,0,1
23,15,0,1,0,0,0,0,0,19,4,1,0,1,0,1
25,17,0,1,0,0,0,0,0,21,4,1,0,1,0,1
53,36,9,3,2,0,0,0,5,39,9,1,0,2,0,1
28,21,0,2,1,0,0,0,6,16,6,0,0,2,0,1
36,29,0,2,1,0,0,0,6,24,6,0,0,2,0,1
25,18,0,2,1,0,0,0,2,17,6,0,0,2,0,1
37,29,0,2,1,0,0,0,6,25,6,1,0,2,0,1
37,29,0,2,1,0,0,0,6,25,6,1,0,2,0,1
36,29,0,2,1,0,0,0,6,24,6,0,0,2,0,1
29,21,0,2,1,0,0,0,6,17,6,1,0,2,0,1
36,29,0,2,1,0,0,0,6,24,6,0,0,2,0,1
41,34,0,2,0,0,0,0,5,31,5,0,0,2,0,1
37,29,0,2,1,0,0,0,6,25,6,1,0,2,0,1
58,16,34,3,0,0,0,0,2,46,10,1,0,2,0,1
42,16,18,2,0,0,0,0,2,33,7,1,0,2,0,1
